                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.4567,                 2.1145,                 1.4009,                0.50916,                0.30833,                0.31785,                0.20985,                 1.5486,                 2.4711,                  1.735,               0.008482,               0.008482,               0.008482
                     48,                 1.4009,                 2.0444,                 1.4114,                0.51201,                0.34169,                0.33747,                0.22094,                 1.5556,                 2.4237,                 1.7406,               0.008449,               0.008449,               0.008449
                     49,                 1.3882,                 2.0234,                 1.3617,                0.51913,                0.33575,                0.36333,                0.24404,                 1.5138,                 2.4732,                 1.7142,               0.008416,               0.008416,               0.008416
                     50,                 1.4056,                 2.0267,                 1.3897,                0.48379,                0.36266,                0.39774,                0.26593,                 1.4557,                 2.3155,                 1.6567,               0.008383,               0.008383,               0.008383
                     51,                 1.3231,                  1.898,                 1.3375,                0.47261,                0.37759,                0.36247,                0.23431,                 1.5343,                 2.3786,                 1.7371,                0.00835,                0.00835,                0.00835
                     52,                  1.391,                 1.9356,                 1.3575,                0.47284,                0.41102,                0.37821,                 0.2519,                 1.4983,                 2.3565,                 1.6915,               0.008317,               0.008317,               0.008317
                     53,                 1.3541,                 1.9567,                 1.3879,                0.54724,                 0.4015,                0.43113,                0.28193,                 1.4596,                 2.3504,                 1.6556,               0.008284,               0.008284,               0.008284
                     54,                 1.3712,                 1.9236,                 1.3743,                0.48982,                0.40533,                0.41143,                0.27085,                 1.4883,                 2.3273,                 1.6566,               0.008251,               0.008251,               0.008251
                     55,                 1.3755,                 1.8671,                 1.3663,                0.47898,                0.48577,                0.44055,                0.28484,                 1.5433,                 2.2356,                 1.7297,               0.008218,               0.008218,               0.008218
                     56,                 1.3622,                  1.858,                 1.3745,                0.42161,                 0.5127,                0.45175,                0.29702,                 1.5071,                 2.2557,                 1.7078,               0.008185,               0.008185,               0.008185
                     57,                 1.3089,                 1.8856,                 1.3443,                0.54832,                0.41708,                0.44117,                0.28732,                 1.4838,                 2.1921,                 1.6725,               0.008152,               0.008152,               0.008152
                     58,                 1.3764,                 1.8467,                 1.3261,                0.57917,                0.38239,                0.44907,                0.28423,                 1.5495,                 2.1877,                 1.7073,               0.008119,               0.008119,               0.008119
                     59,                 1.3524,                  1.803,                 1.3723,                0.57059,                0.42368,                0.47673,                0.31705,                 1.4331,                 2.0997,                 1.5978,               0.008086,               0.008086,               0.008086
                     60,                 1.3404,                 1.7647,                 1.3361,                0.60423,                0.40821,                0.47434,                0.31036,                 1.4879,                  2.105,                 1.6392,               0.008053,               0.008053,               0.008053
                     61,                 1.3257,                 1.7469,                 1.3464,                 0.5872,                0.40791,                0.45258,                0.30055,                 1.4892,                 2.1228,                 1.6547,                0.00802,                0.00802,                0.00802
                     62,                 1.3146,                 1.7026,                 1.3057,                0.49045,                0.55075,                0.49111,                0.32771,                 1.4969,                 2.0491,                 1.6651,               0.007987,               0.007987,               0.007987
                     63,                 1.3363,                 1.7554,                 1.3621,                0.54247,                0.52484,                0.49985,                0.34035,                 1.4471,                 2.1199,                  1.618,               0.007954,               0.007954,               0.007954
                     64,                 1.2712,                 1.6788,                 1.3594,                 0.5707,                0.45765,                0.51539,                 0.3538,                 1.4123,                 2.0143,                 1.5953,               0.007921,               0.007921,               0.007921
                     65,                 1.3435,                 1.7594,                 1.3707,                0.49898,                0.47755,                0.46782,                0.31806,                 1.3949,                 2.1122,                 1.5761,               0.007888,               0.007888,               0.007888
                     66,                 1.2893,                 1.7128,                 1.3313,                0.56855,                0.49796,                0.53069,                 0.3615,                 1.4264,                 2.0883,                 1.5969,               0.007855,               0.007855,               0.007855
                     67,                 1.3238,                 1.7195,                 1.3278,                0.56436,                0.54084,                 0.5507,                0.37943,                 1.3763,                 2.0041,                 1.5698,               0.007822,               0.007822,               0.007822
                     68,                 1.3151,                 1.6468,                 1.3493,                 0.5558,                0.51227,                0.54485,                0.38301,                 1.3673,                 1.9523,                 1.5506,               0.007789,               0.007789,               0.007789
                     69,                 1.2505,                 1.5923,                 1.2991,                0.58088,                0.46274,                0.49017,                  0.322,                 1.4918,                 2.1022,                 1.6758,               0.007756,               0.007756,               0.007756
