                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.5031,                 0.9231,                 1.4274,                0.81673,                0.61245,                0.71327,                0.36574,                 1.5631,                0.96039,                 1.4561,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.5032,                0.90904,                  1.424,                 0.8235,                0.57152,                 0.6885,                0.36749,                 1.5225,                0.96842,                 1.4093,               0.007624,               0.007624,               0.007624
                     50,                 1.5167,                 0.9134,                 1.3833,                0.75879,                0.61273,                0.70239,                0.33396,                 1.6566,                 1.0109,                 1.4867,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.5247,                0.93239,                 1.3866,                0.77544,                0.60843,                0.67493,                0.31929,                 1.7445,                 1.1549,                 1.5462,               0.007525,               0.007525,               0.007525
                     52,                 1.4955,                0.86798,                 1.3815,                0.75135,                0.60843,                0.68463,                0.31523,                 1.7947,                 1.0535,                 1.5983,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4806,                0.89951,                 1.4267,                0.76014,                0.61446,                0.71211,                0.38008,                 1.5392,                0.95468,                 1.4082,               0.007426,               0.007426,               0.007426
                     54,                 1.4992,                0.88056,                 1.3808,                0.82641,                0.66466,                0.74479,                 0.3479,                 1.6857,                0.99341,                 1.5101,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4911,                0.87662,                 1.3731,                0.82417,                0.63253,                0.72089,                0.37249,                 1.5501,                0.93376,                 1.4352,               0.007327,               0.007327,               0.007327
                     56,                 1.4603,                0.85426,                 1.3877,                0.76857,                0.63353,                0.69878,                0.35448,                 1.6125,                0.95682,                 1.4409,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4678,                0.89733,                 1.4014,                0.77684,                0.61513,                 0.6853,                0.34145,                 1.6537,                0.98897,                 1.4713,               0.007228,               0.007228,               0.007228
                     58,                 1.4427,                0.84439,                 1.3595,                 0.8079,                0.64659,                 0.7272,                0.38258,                 1.4795,                0.94304,                  1.381,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.5085,                0.88719,                 1.3969,                0.82217,                0.66466,                0.74776,                0.38854,                 1.4746,                0.89236,                 1.3764,               0.007129,               0.007129,               0.007129
                     60,                 1.4646,                0.86756,                 1.3753,                  0.775,                0.64257,                0.71863,                0.38254,                 1.5243,                0.87762,                 1.4045,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4685,                0.86135,                 1.3759,                0.79555,                0.56225,                0.69963,                0.37022,                 1.5161,                0.90629,                   1.39,                0.00703,                0.00703,                0.00703
                     62,                 1.4486,                0.84201,                 1.3695,                0.78563,                0.71486,                0.78107,                 0.4229,                 1.4548,                 0.8672,                 1.3663,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.5104,                0.86685,                 1.3679,                0.83583,                0.59036,                0.67822,                0.37334,                 1.5034,                0.85656,                 1.3669,               0.006931,               0.006931,               0.006931
                     64,                 1.4174,                0.81782,                 1.3425,                0.80206,                0.63655,                0.72079,                0.38702,                 1.4773,                0.83507,                 1.3628,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.4048,                0.83196,                  1.336,                0.81792,                0.64859,                 0.7514,                0.40192,                 1.4666,                0.84004,                 1.3452,               0.006832,               0.006832,               0.006832
                     66,                 1.4292,                0.83182,                 1.3271,                0.87002,                0.71888,                0.80445,                0.43813,                 1.4058,                 0.7954,                 1.3242,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4584,                0.83956,                  1.345,                0.84024,                0.64056,                0.75332,                0.40288,                 1.4608,                 0.8249,                 1.3505,               0.006733,               0.006733,               0.006733
                     68,                 1.3948,                0.80528,                 1.3355,                0.88378,                0.62604,                0.74977,                0.40183,                 1.4391,                0.83386,                 1.3411,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.4556,                0.86418,                 1.3435,                0.76565,                0.58434,                0.69197,                0.34154,                 1.6648,                0.91393,                 1.4499,               0.006634,               0.006634,               0.006634
                     70,                  1.419,                0.80409,                 1.3552,                0.89501,                0.66763,                 0.7806,                0.41225,                 1.4453,                 0.8388,                 1.3432,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.4082,                 0.8097,                 1.3505,                 0.7695,                0.68273,                0.74936,                0.40599,                 1.4316,                0.81202,                 1.3537,               0.006535,               0.006535,               0.006535
                     72,                 1.3974,                0.80286,                 1.3033,                0.80832,                 0.6747,                0.75489,                0.33569,                 1.7828,                0.93353,                 1.5281,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3718,                0.78184,                 1.3187,                0.84787,                  0.749,                 0.8094,                0.43131,                  1.441,                0.78112,                 1.3514,               0.006436,               0.006436,               0.006436
                     74,                 1.3492,                0.77904,                 1.3175,                0.77212,                0.63454,                0.71177,                0.39029,                 1.4359,                0.83969,                 1.3332,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.3762,                0.76213,                 1.2966,                0.81205,                0.68876,                0.77654,                0.42188,                 1.4451,                0.79527,                 1.3458,               0.006337,               0.006337,               0.006337
                     76,                 1.3566,                 0.7674,                 1.3262,                  0.805,                0.64257,                0.73479,                0.39717,                 1.4316,                0.82283,                 1.3271,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.4028,                0.79562,                 1.3217,                0.78186,                0.63454,                0.73317,                0.37867,                 1.5132,                0.81036,                 1.3646,               0.006238,               0.006238,               0.006238
                     78,                 1.3544,                0.78145,                 1.3007,                0.84657,                0.65261,                0.76145,                0.39225,                 1.5296,                 0.8239,                 1.3912,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.3364,                 0.7826,                 1.2798,                0.78768,                0.70026,                0.78104,                  0.418,                 1.4318,                0.77732,                 1.3522,               0.006139,               0.006139,               0.006139
                     80,                 1.3437,                0.74251,                 1.2652,                0.84322,                0.70201,                0.78013,                0.40689,                 1.4606,                0.78046,                 1.3398,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.3636,                 0.7809,                 1.2713,                0.80948,                0.72088,                0.79122,                0.41794,                 1.4357,                0.77072,                 1.3529,                0.00604,                0.00604,                0.00604
                     82,                 1.3257,                0.73659,                 1.2876,                0.81805,                0.71285,                 0.7941,                0.41807,                 1.4655,                0.79045,                  1.353,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.3266,                0.74518,                 1.2536,                0.80485,                0.64599,                0.72562,                0.38282,                 1.5464,                0.83188,                  1.379,               0.005941,               0.005941,               0.005941
                     84,                 1.3214,                0.74206,                 1.2763,                0.83624,                0.71687,                 0.7923,                0.42548,                 1.4271,                0.76623,                 1.2996,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.3715,                0.78494,                 1.2836,                0.83714,                0.71084,                0.80048,                0.45191,                 1.3518,                0.75359,                 1.2859,               0.005842,               0.005842,               0.005842
